행정구역,연도,월,연령대,인구수
서울특별시,2008,01,0~9세,959906
부산광역시,2008,01,0~9세,309247
대구광역시,2008,01,0~9세,253570
인천광역시,2008,01,0~9세,289401
광주광역시,2008,01,0~9세,171638
대전광역시,2008,01,0~9세,170386
울산광역시,2008,01,0~9세,127516
경기도,2008,01,0~9세,1357127
강원도,2008,01,0~9세,153992
충청북도,2008,01,0~9세,162713
충청남도,2008,01,0~9세,216814
전라북도,2008,01,0~9세,194987
전라남도,2008,01,0~9세,194317
경상북도,2008,01,0~9세,264789
경상남도,2008,01,0~9세,355821
제주특별자치도,2008,01,0~9세,68808
서울특별시,2008,01,10~19세,1283816
부산광역시,2008,01,10~19세,472927
대구광역시,2008,01,10~19세,368665
인천광역시,2008,01,10~19세,395870
광주광역시,2008,01,10~19세,225962
대전광역시,2008,01,10~19세,222094
울산광역시,2008,01,10~19세,176250
경기도,2008,01,10~19세,1608175
강원도,2008,01,10~19세,197472
충청북도,2008,01,10~19세,210265
충청남도,2008,01,10~19세,259605
전라북도,2008,01,10~19세,257151
전라남도,2008,01,10~19세,252081
경상북도,2008,01,10~19세,341170
경상남도,2008,01,10~19세,450233
제주특별자치도,2008,01,10~19세,80797
서울특별시,2008,01,20~29세,1726537
부산광역시,2008,01,20~29세,563706
대구광역시,2008,01,20~29세,370997
인천광역시,2008,01,20~29세,401906
광주광역시,2008,01,20~29세,219101
대전광역시,2008,01,20~29세,230637
울산광역시,2008,01,20~29세,160133
경기도,2008,01,20~29세,1586294
강원도,2008,01,20~29세,200089
충청북도,2008,01,20~29세,212860
충청남도,2008,01,20~29세,276734
전라북도,2008,01,20~29세,251561
전라남도,2008,01,20~29세,240619
경상북도,2008,01,20~29세,365187
경상남도,2008,01,20~29세,435527
제주특별자치도,2008,01,20~29세,74733
서울특별시,2008,01,30~39세,1926779
부산광역시,2008,01,30~39세,566682
대구광역시,2008,01,30~39세,422469
인천광역시,2008,01,30~39세,478474
광주광역시,2008,01,30~39세,248601
대전광역시,2008,01,30~39세,266705
울산광역시,2008,01,30~39세,198014
경기도,2008,01,30~39세,2154867
강원도,2008,01,30~39세,231812
충청북도,2008,01,30~39세,243981
충청남도,2008,01,30~39세,319999
전라북도,2008,01,30~39세,280774
전라남도,2008,01,30~39세,269359
경상북도,2008,01,30~39세,415185
경상남도,2008,01,30~39세,543864
제주특별자치도,2008,01,30~39세,94952
서울특별시,2008,01,40~49세,1716377
부산광역시,2008,01,40~49세,632563
대구광역시,2008,01,40~49세,450128
인천광역시,2008,01,40~49세,505659
광주광역시,2008,01,40~49세,236620
대전광역시,2008,01,40~49세,256167
울산광역시,2008,01,40~49세,213917
경기도,2008,01,40~49세,2029341
강원도,2008,01,40~49세,256788
충청북도,2008,01,40~49세,253213
충청남도,2008,01,40~49세,317942
전라북도,2008,01,40~49세,293554
전라남도,2008,01,40~49세,301416
경상북도,2008,01,40~49세,437953
경상남도,2008,01,40~49세,553579
제주특별자치도,2008,01,40~49세,92940
서울특별시,2008,01,50~59세,1301028
부산광역시,2008,01,50~59세,526568
대구광역시,2008,01,50~59세,311295
인천광역시,2008,01,50~59세,299692
광주광역시,2008,01,50~59세,148632
대전광역시,2008,01,50~59세,166805
울산광역시,2008,01,50~59세,126946
경기도,2008,01,50~59세,1142789
강원도,2008,01,50~59세,187548
충청북도,2008,01,50~59세,175782
충청남도,2008,01,50~59세,234553
전라북도,2008,01,50~59세,226955
전라남도,2008,01,50~59세,236844
경상북도,2008,01,50~59세,343209
경상남도,2008,01,50~59세,378607
제주특별자치도,2008,01,50~59세,61008
서울특별시,2008,01,60~69세,801782
부산광역시,2008,01,60~69세,315745
대구광역시,2008,01,60~69세,186121
인천광역시,2008,01,60~69세,171746
광주광역시,2008,01,60~69세,95921
대전광역시,2008,01,60~69세,94192
울산광역시,2008,01,60~69세,59504
경기도,2008,01,60~69세,710847
강원도,2008,01,60~69세,150963
충청북도,2008,01,60~69세,129990
충청남도,2008,01,60~69세,185239
전라북도,2008,01,60~69세,182456
전라남도,2008,01,60~69세,221974
경상북도,2008,01,60~69세,261331
경상남도,2008,01,60~69세,252463
제주특별자치도,2008,01,60~69세,45903
서울특별시,2008,01,70~79세,359879
부산광역시,2008,01,70~79세,153131
대구광역시,2008,01,70~79세,100715
인천광역시,2008,01,70~79세,92829
광주광역시,2008,01,70~79세,50227
대전광역시,2008,01,70~79세,51192
울산광역시,2008,01,70~79세,28978
경기도,2008,01,70~79세,397522
강원도,2008,01,70~79세,90590
충청북도,2008,01,70~79세,88274
충청남도,2008,01,70~79세,140019
전라북도,2008,01,70~79세,126500
전라남도,2008,01,70~79세,156774
경상북도,2008,01,70~79세,184436
경상남도,2008,01,70~79세,170406
제주특별자치도,2008,01,70~79세,28534
서울특별시,2008,01,80~89세,111267
부산광역시,2008,01,80~89세,42405
대구광역시,2008,01,80~89세,27722
인천광역시,2008,01,80~89세,29422
광주광역시,2008,01,80~89세,16084
대전광역시,2008,01,80~89세,16292
울산광역시,2008,01,80~89세,9142
경기도,2008,01,80~89세,120683
강원도,2008,01,80~89세,30166
충청북도,2008,01,80~89세,26856
충청남도,2008,01,80~89세,41784
전라북도,2008,01,80~89세,40041
전라남도,2008,01,80~89세,48764
경상북도,2008,01,80~89세,59374
경상남도,2008,01,80~89세,51150
제주특별자치도,2008,01,80~89세,9259
서울특별시,2008,01,90~99세,13884
부산광역시,2008,01,90~99세,4073
대구광역시,2008,01,90~99세,2934
인천광역시,2008,01,90~99세,3339
광주광역시,2008,01,90~99세,2027
대전광역시,2008,01,90~99세,1959
울산광역시,2008,01,90~99세,1034
경기도,2008,01,90~99세,14131
강원도,2008,01,90~99세,3893
충청북도,2008,01,90~99세,3280
충청남도,2008,01,90~99세,5127
전라북도,2008,01,90~99세,4741
전라남도,2008,01,90~99세,5889
경상북도,2008,01,90~99세,6860
경상남도,2008,01,90~99세,4837
제주특별자치도,2008,01,90~99세,1830
서울특별시,2008,01,100세 이상,401
부산광역시,2008,01,100세 이상,107
대구광역시,2008,01,100세 이상,74
인천광역시,2008,01,100세 이상,86
광주광역시,2008,01,100세 이상,64
대전광역시,2008,01,100세 이상,47
울산광역시,2008,01,100세 이상,14
경기도,2008,01,100세 이상,356
강원도,2008,01,100세 이상,112
충청북도,2008,01,100세 이상,78
충청남도,2008,01,100세 이상,138
전라북도,2008,01,100세 이상,175
전라남도,2008,01,100세 이상,207
경상북도,2008,01,100세 이상,146
경상남도,2008,01,100세 이상,120
제주특별자치도,2008,01,100세 이상,54
서울특별시,2008,02,0~9세,957641
부산광역시,2008,02,0~9세,307958
대구광역시,2008,02,0~9세,252794
인천광역시,2008,02,0~9세,289063
광주광역시,2008,02,0~9세,171205
대전광역시,2008,02,0~9세,169955
울산광역시,2008,02,0~9세,127155
경기도,2008,02,0~9세,1354516
강원도,2008,02,0~9세,153393
충청북도,2008,02,0~9세,162198
충청남도,2008,02,0~9세,216542
전라북도,2008,02,0~9세,193787
전라남도,2008,02,0~9세,193170
경상북도,2008,02,0~9세,263302
경상남도,2008,02,0~9세,354537
제주특별자치도,2008,02,0~9세,68631
서울특별시,2008,02,10~19세,1281081
부산광역시,2008,02,10~19세,471219
대구광역시,2008,02,10~19세,368377
인천광역시,2008,02,10~19세,395165
광주광역시,2008,02,10~19세,225823
대전광역시,2008,02,10~19세,221490
울산광역시,2008,02,10~19세,176096
경기도,2008,02,10~19세,1607242
강원도,2008,02,10~19세,196924
충청북도,2008,02,10~19세,209798
충청남도,2008,02,10~19세,258571
전라북도,2008,02,10~19세,256245
전라남도,2008,02,10~19세,250851
경상북도,2008,02,10~19세,339603
경상남도,2008,02,10~19세,449506
제주특별자치도,2008,02,10~19세,80763
서울특별시,2008,02,20~29세,1725914
부산광역시,2008,02,20~29세,562188
대구광역시,2008,02,20~29세,370149
인천광역시,2008,02,20~29세,402123
광주광역시,2008,02,20~29세,219135
대전광역시,2008,02,20~29세,230472
울산광역시,2008,02,20~29세,160139
경기도,2008,02,20~29세,1585534
강원도,2008,02,20~29세,199888
충청북도,2008,02,20~29세,212819
충청남도,2008,02,20~29세,276412
전라북도,2008,02,20~29세,250880
전라남도,2008,02,20~29세,239866
경상북도,2008,02,20~29세,364180
경상남도,2008,02,20~29세,434621
제주특별자치도,2008,02,20~29세,74624
서울특별시,2008,02,30~39세,1927957
부산광역시,2008,02,30~39세,565722
대구광역시,2008,02,30~39세,421739
인천광역시,2008,02,30~39세,478205
광주광역시,2008,02,30~39세,248871
대전광역시,2008,02,30~39세,266503
울산광역시,2008,02,30~39세,197734
경기도,2008,02,30~39세,2153231
강원도,2008,02,30~39세,231284
충청북도,2008,02,30~39세,243700
충청남도,2008,02,30~39세,320471
전라북도,2008,02,30~39세,280620
전라남도,2008,02,30~39세,269048
경상북도,2008,02,30~39세,413650
경상남도,2008,02,30~39세,543023
제주특별자치도,2008,02,30~39세,94830
서울특별시,2008,02,40~49세,1720572
부산광역시,2008,02,40~49세,632703
대구광역시,2008,02,40~49세,451464
인천광역시,2008,02,40~49세,506955
광주광역시,2008,02,40~49세,237202
대전광역시,2008,02,40~49세,257143
울산광역시,2008,02,40~49세,214775
경기도,2008,02,40~49세,2037598
강원도,2008,02,40~49세,257099
충청북도,2008,02,40~49세,253888
충청남도,2008,02,40~49세,319282
전라북도,2008,02,40~49세,294029
전라남도,2008,02,40~49세,301696
경상북도,2008,02,40~49세,438645
경상남도,2008,02,40~49세,555429
제주특별자치도,2008,02,40~49세,93157
서울특별시,2008,02,50~59세,1304458
부산광역시,2008,02,50~59세,527670
대구광역시,2008,02,50~59세,312136
인천광역시,2008,02,50~59세,301522
광주광역시,2008,02,50~59세,149121
대전광역시,2008,02,50~59세,167469
울산광역시,2008,02,50~59세,127771
경기도,2008,02,50~59세,1149555
강원도,2008,02,50~59세,188439
충청북도,2008,02,50~59세,176748
충청남도,2008,02,50~59세,235478
전라북도,2008,02,50~59세,227165
전라남도,2008,02,50~59세,236865
경상북도,2008,02,50~59세,343745
경상남도,2008,02,50~59세,379875
제주특별자치도,2008,02,50~59세,61100
서울특별시,2008,02,60~69세,805438
부산광역시,2008,02,60~69세,317006
대구광역시,2008,02,60~69세,186742
인천광역시,2008,02,60~69세,172598
광주광역시,2008,02,60~69세,96172
대전광역시,2008,02,60~69세,94525
울산광역시,2008,02,60~69세,59834
경기도,2008,02,60~69세,713669
강원도,2008,02,60~69세,151006
충청북도,2008,02,60~69세,130190
충청남도,2008,02,60~69세,185396
전라북도,2008,02,60~69세,182438
전라남도,2008,02,60~69세,221503
경상북도,2008,02,60~69세,261374
경상남도,2008,02,60~69세,252833
제주특별자치도,2008,02,60~69세,46064
서울특별시,2008,02,70~79세,362177
부산광역시,2008,02,70~79세,153918
대구광역시,2008,02,70~79세,101373
인천광역시,2008,02,70~79세,93347
광주광역시,2008,02,70~79세,50586
대전광역시,2008,02,70~79세,51487
울산광역시,2008,02,70~79세,29104
경기도,2008,02,70~79세,400101
강원도,2008,02,70~79세,91104
충청북도,2008,02,70~79세,88689
충청남도,2008,02,70~79세,140649
전라북도,2008,02,70~79세,126807
전라남도,2008,02,70~79세,157591
경상북도,2008,02,70~79세,185198
경상남도,2008,02,70~79세,170973
제주특별자치도,2008,02,70~79세,28588
서울특별시,2008,02,80~89세,112395
부산광역시,2008,02,80~89세,43019
대구광역시,2008,02,80~89세,28056
인천광역시,2008,02,80~89세,29778
광주광역시,2008,02,80~89세,16271
대전광역시,2008,02,80~89세,16487
울산광역시,2008,02,80~89세,9266
경기도,2008,02,80~89세,122118
강원도,2008,02,80~89세,30483
충청북도,2008,02,80~89세,27115
충청남도,2008,02,80~89세,42262
전라북도,2008,02,80~89세,40554
전라남도,2008,02,80~89세,49248
경상북도,2008,02,80~89세,59858
경상남도,2008,02,80~89세,51702
제주특별자치도,2008,02,80~89세,9346
서울특별시,2008,02,90~99세,14019
부산광역시,2008,02,90~99세,4084
대구광역시,2008,02,90~99세,2954
인천광역시,2008,02,90~99세,3392
광주광역시,2008,02,90~99세,2066
대전광역시,2008,02,90~99세,1974
울산광역시,2008,02,90~99세,1028
경기도,2008,02,90~99세,14225
강원도,2008,02,90~99세,3920
충청북도,2008,02,90~99세,3304
충청남도,2008,02,90~99세,5136
전라북도,2008,02,90~99세,4790
전라남도,2008,02,90~99세,5894
경상북도,2008,02,90~99세,6917
경상남도,2008,02,90~99세,4856
제주특별자치도,2008,02,90~99세,1857
