code,num
C1072,716.3129355505298
C1128,1177.1012551918047
C1456,539.8952492516195
C1840,506.4280145022275
C1332,1063.9620601194201
C1563,1943.8368379024014
C1794,1020.1120383743727
C1640,443.71184462577537
C1377,330.33222556861426
C2072,102.78566137129917
C1472,496.99297928604017
C1006,266.79811019374756
C1083,433.8063385784843
C1311,299.0872312557686
C2676,303.1617023929666
C2318,261.93786139474867
C1603,455.2239568231203
C2523,255.6765015080431
C2177,131.35373274692745
C2411,538.1001988418101
C2033,118.4773979518535
C1604,438.8647021163106
C2535,657.8271313238565
C1040,402.0137695104632
C2417,380.745708460914
C1812,205.0526298899439
C2253,57.96873507420412
C1294,699.3372692031135
C1772,523.9842263131285
C2646,522.2893941978909
C1152,826.166258769169
C2423,69.91998163299456
C1844,439.55103413231797
C1318,226.97258967233336
C1729,170.28444533448055
C1602,196.99321812654296
C1239,341.9293812646088
C1721,690.5476230523581
C1902,754.7291448630348
C1855,260.8813487225171
C2600,436.66962826184306
C1071,497.6312082303974
C2295,311.8897962988484
C1621,605.8430245807721
C1852,782.7013177410548
C2555,1003.3286931238138
C1297,590.2297431182595
C2323,586.724419353315
C2215,203.23397762976225
C2112,268.884439153995
C1830,834.9590153372154
C2602,238.42581064903595
C2608,974.4282606552133
C1215,479.40082291945316
C2369,716.808251809236
C1158,244.14082387975566
C1887,314.71994041446584
C1189,277.3971029094736
C1637,393.75691350847217
C1225,199.3860447884689
C2374,332.40482603826774
C2397,612.0847083119388
C1105,1106.2173454752792
C1782,416.9311544524461
C1629,242.55840030776005
C1708,275.00461582978585
C2144,503.4810153707759
C1617,1183.5580651958335
C1149,568.953758483301
C1323,527.6835473304744
C1064,610.6338993057319
C1019,270.70707183265574
C2269,618.4278398228852
C1416,640.627405888541
C1250,763.6298263140689
C1741,463.40349385943045
C1016,714.9816878125474
C2675,1079.4332101073924
C2436,572.7667700025995
C2039,673.8323694525307
C1253,596.6681582518622
C2028,1357.4564235405742
C1166,332.3456348840099
C1135,249.04113962224244
C1216,266.2578393396851
C1593,242.31280403842345
C1826,227.62049403346634
C1827,275.123678013373
C1564,239.1822053407485
C1495,1111.0561589215004
C2653,1008.3015846069593
C1392,527.7563093082534
C2128,-25.979928266342654
C1282,389.47915470415234
C1521,1145.9767308779446
C2076,893.1989812337889
C1060,589.5678207544933
C2473,1146.6514695950846
C2557,880.8081925556198
C1835,806.0782054437653
C2224,659.2190503459988
C2222,392.5221001200897
C2430,798.0021005522012
C2497,876.7085551584406
C1494,917.6158470399477
C1457,281.60524719527444
C1525,1095.9966771043219
C1712,399.5372242121374
C2267,996.1573665670838
C1623,282.04263822194105
C2131,563.8853146174296
C2691,1266.7725909147102
C1147,884.5081983652907
C1692,799.3958811263088
C1570,823.2231960631389
C1474,101.59367454390474
C1633,125.17857748314589
C2113,384.9050416036224
C2175,724.4005523595187
C2303,1542.6283487645633
C2547,603.4476197527578
C2292,732.1883445677528
C1496,789.8074831826943
C1289,363.900550592003
C1849,752.1833540921106
C1003,348.3040762160052
C2268,381.4421117678931
C2551,605.9480033082745
C2688,59.645105968902385
C1030,16.701738501369505
C1327,144.25009540529697
C2451,771.2496934833742
C1749,635.7908707915698
C1349,252.6058375347419
C2043,239.97117727267675
C1229,740.4965598865873
C2363,539.4407833881396
C1414,508.415147638772
C2174,491.6602484247424
C2091,45.48423000844548
C2335,886.738532381736
C1841,71.15407003958524
C2404,44.82746992548334
C1683,279.8196134933454
C1038,299.4888779618922
C2456,233.41520163486337
C1266,591.5275634596481
C2152,20.987660034070245
C1267,446.2238260756484
C2189,207.2664802861508
